Types,FolderName,Filetype
AnalyticSnapshot,analyticSnapshots,File
ApexClass,classes,File
ApexComponent,components,File
ApexPage,pages,File
ApexTrigger,triggers,File
AppMenu,appMenus,File
ApprovalProcess,approvalProcesses,File
AssignmentRules,assignmentRules,File
AuraDefinitionBundle,aura,Folder
AutoResponseRules,autoResponseRules,File
Bot,bots,File
CleanDataService,cleanDataServices,File
Community,communities,File
ConnectedApp,connectedApps,File
CspTrustedSite,cspTrustedSites,File
CustomApplication,applications,File
CustomLabels,labels,File
CustomMetadata,customMetadata,File
CustomObject,objects,File
CustomObjectTranslation,objectTranslations,File
CustomPageWebLink,weblinks,File
CustomPermission,customPermissions,File
CustomSite,sites,File
CustomTab,tabs,File
Dashboard,dashboards,FileFolder
DataCategoryGroup,datacategorygroups,File
DelegateGroup,delegateGroups,File
Document,documents,Folder
DuplicateRule,duplicateRules,File
EmailServicesFunction,emailservices,File
EmailTemplate,email,EmailFolder
EscalationRules,escalationRules,File
ExternalDataSource,dataSources,File
FlexiPage,flexipages,File
Flow,flows,File
FlowDefinition,flowDefinitions,File
GlobalValueSet,globalValueSets,File
GlobalValueSetTranslation,globalValueSetTranslations,File
Group,groups,File
HomePageComponent,homePageComponents,File
HomePageLayout,homePageLayouts,File
InstalledPackage,installedPackages,File
Layout,layouts,File
LeadConvertSettings,LeadConvertSettings,File
Letterhead,letterhead,File
LiveChatAgentConfig,liveChatAgentConfigs,File
LiveChatButton,liveChatButtons,File
LiveChatDeployment,liveChatDeployments,File
MatchingRules,matchingRules,File
NamedCredential,namedCredentials,File
PathAssistant,pathAssistants,File
PermissionSet,permissionsets,File
PresenceUserConfig,presenceUserConfigs,File
Profile,profiles,File
ProfilePasswordPolicy,profilePasswordPolicies,File
ProfileSessionSetting,profileSessionSettings,File
Queue,queues,File
QueueRoutingConfig,queueRoutingConfigs,File
QuickAction,quickActions,File
RemoteSiteSetting,remoteSiteSettings,File
Report,reports,FileFolder
ReportType,reportTypes,File
Role,roles,File
SamlSsoConfig,samlssoconfigs,File
ServiceChannel,serviceChannels,File
ServicePresenceStatus,servicePresenceStatuses,File
Settings,settings,File
SharingRules,sharingRules,File
SharingSet,sharingSets,File
Skill,skills,File
StandardValueSet,standardValueSets,File
StandardValueSetTranslation,standardValueSetTranslations,File
StaticResource,staticresources,File
TopicsForObjects,topicsForObjects,File
Translations,translations,File
Workflow,workflows,File
CustomField,objects,File
ListView,objects,File
SharingCriteriaRule,sharingRules,File
SharingOwnerRule,sharingRules,FileSpecific
SharingTerritoryRule,sharingRules,File
